Player,Maps,Rounds,K-D Diff,K/D,Rating1.0,deaths,kills,abates_por_rounds,mortes_por_rounds,classificacao,dano_por_round,rounds_vivo_vitoria,clutchs_ganhos,grau_consistencia
cajunb,1147,30159,1572,1.08,1.04,19649.99999999998,21221.99999999998,0.7036705461056395,0.6515468019496662,1.04,78.0,56.52811994865321,3.0,5.5813054207638215
dycha,1008,26488,821,1.05,1.04,16419.999999999985,17240.999999999985,0.6508985200845661,0.6199033524614914,1.04,78.0,60.52299632068817,3.0,5.499999999999996
hallzerk,716,18822,858,1.07,1.04,12257.142857142846,13115.142857142846,0.6967985791702713,0.6512136253927768,1.04,78.0,56.570182339965214,3.0,5.5000000000000036
mou,979,26250,1264,1.07,1.03,18057.14285714284,19321.14285714284,0.7360435374149653,0.6878911564625844,1.03,77.25,51.560898748479865,3.0,6.231081518568501
shox,1309,34623,1423,1.06,1.03,23716.666666666646,25139.666666666646,0.7260972956319974,0.6849974487094315,1.03,77.25,51.922706674739054,3.0,6.038335308064913
Rainwaker,847,23001,1041,1.07,1.03,14871.428571428558,15912.428571428558,0.691814641599433,0.6465557398125541,1.03,77.25,56.729175110497465,3.0,5.499999999999999
ISSAA,683,18045,749,1.06,1.03,12483.333333333323,13232.333333333323,0.7332963886579841,0.6917890459037586,1.03,77.25,51.07353533247414,3.0,6.178267343900885
cadiaN,1319,34857,2045,1.1,1.03,20449.99999999998,22494.99999999998,0.6453510055369074,0.5866827323062794,1.03,77.25,64.21525543811296,3.0,5.499999999999998
rallen,1333,35452,1505,1.06,1.03,25083.33333333331,26588.33333333331,0.74998119523111,0.7075294294633112,1.03,77.25,49.10547358608632,3.0,6.499634992106597
Kjaerbye,1171,31052,1172,1.06,1.03,19533.333333333318,20705.333333333318,0.6667954828459782,0.6290523423075266,1.03,77.25,58.91767114880135,3.0,5.499999999999998
SHiPZ,1228,32888,694,1.03,1.03,23133.333333333314,23827.333333333314,0.724499310792183,0.7033973891186243,1.03,77.25,49.62211350824211,3.0,6.0072884513135225
Brollan,1116,29415,701,1.04,1.02,17524.999999999985,18225.999999999985,0.6196158422573512,0.5957844637089915,1.02,76.5,62.58656097456687,3.0,5.499999999999998
YEKINDAR,935,24792,253,1.01,1.02,25299.999999999978,25552.999999999978,1.03069538560826,1.0204904808002573,1.02,76.5,10.0,3.0,3.4999999999999987
felps,907,23030,282,1.02,1.02,14099.999999999987,14381.999999999987,0.6244897959183668,0.6122448979591831,1.02,76.5,60.54845085949513,3.0,5.499999999999997
koosta,734,19649,373,1.03,1.02,12433.333333333323,12806.333333333323,0.6517549663256819,0.6327718119666814,1.02,76.5,58.00683437271236,3.0,5.499999999999996
Skadoodle,704,18266,1075,1.1,1.02,10749.99999999999,11824.99999999999,0.647377641519763,0.5885251286543299,1.02,76.5,63.48540264415581,3.0,5.5
KRIMZ,1572,40926,1560,1.06,1.02,25999.999999999978,27559.999999999978,0.6734105458632649,0.6352929677955329,1.02,76.5,57.69466805204591,3.0,5.499999999999997
hAdji,909,23857,672,1.04,1.02,16799.999999999985,17471.999999999985,0.7323636668483039,0.7041958335079844,1.02,76.5,49.16320251283366,3.0,6.160274466433242
REZ,1513,39717,981,1.04,1.02,24524.999999999978,25505.999999999978,0.6421935191479714,0.6174937684115109,1.02,76.5,59.8985423699019,3.0,5.4999999999999964
jkaem,1388,36245,392,1.02,1.02,19599.99999999998,19991.99999999998,0.5515795282107872,0.540764243343909,1.02,76.5,69.39909495484426,3.0,5.500000000000002
Happy,713,18493,633,1.05,1.02,12659.999999999989,13292.999999999989,0.7188125236575996,0.6845833558643806,1.02,76.5,51.59159464754191,3.0,5.89508998760134
KENSI,792,20413,706,1.05,1.02,14119.999999999987,14825.999999999987,0.7263018664576489,0.691716063292999,1.02,76.5,50.70843185018465,3.0,6.042297404069806
boltz,968,25814,895,1.05,1.02,17899.999999999985,18794.999999999985,0.7280932827148053,0.6934221740141003,1.02,76.5,50.497183382176054,3.0,6.0773274780622035
roeJ,841,21846,470,1.03,1.02,15666.666666666653,16136.666666666653,0.7386554365406323,0.7171412005248857,1.02,76.5,47.56032356933581,3.0,6.281130744364362
sdy,1189,31124,1249,1.06,1.02,20816.66666666665,22065.66666666665,0.7089598594867835,0.668830056119607,1.02,76.5,53.54214826402423,3.0,5.693906675039393
CRUC1AL,1063,28000,884,1.05,1.01,17679.999999999985,18563.999999999985,0.6629999999999995,0.6314285714285709,1.01,75.75,57.725740485549686,3.0,5.499999999999997
TeSeS,943,24747,551,1.03,1.01,18366.66666666665,18917.66666666665,0.7644428280869054,0.7421775029969956,1.01,75.75,44.14738722815369,3.0,6.778252679072984
olofmeister,1052,27691,810,1.04,1.01,20249.99999999998,21059.99999999998,0.7605359141959475,0.7312845328807187,1.01,75.75,45.482917911532624,3.0,6.703390067014373
Forester,1021,27040,657,1.04,1.01,16424.999999999985,17081.999999999985,0.6317307692307687,0.6074334319526622,1.01,75.75,60.66766033660556,3.0,5.499999999999996
rain,1724,45193,407,1.01,1.01,40699.99999999996,41106.99999999996,0.90958776801717,0.9005819485318515,1.01,75.75,24.72623807074323,3.0,3.499999999999998
bondik,840,22263,658,1.05,1.01,13159.999999999989,13817.999999999989,0.6206710685891385,0.591115303418227,1.01,75.75,62.6683416127338,3.0,5.499999999999997
dennis,1060,28188,381,1.02,1.01,19049.99999999998,19430.99999999998,0.689335887611749,0.6758194976585775,1.01,75.75,52.283198790222976,3.0,5.499999999999998
jabbi,746,19519,502,1.04,1.01,12549.999999999989,13051.999999999989,0.6686817972232179,0.6429632665607864,1.01,75.75,56.31153121956846,3.0,5.499999999999997
mouz,950,25382,654,1.04,1.01,16349.999999999985,17003.999999999985,0.669923567882751,0.6441572768103374,1.01,75.75,56.16513980312993,3.0,5.499999999999998
flusha,1148,30294,583,1.03,1.01,19433.333333333318,20016.333333333318,0.6607358992979903,0.6414911643669808,1.01,75.75,56.492018049873714,3.0,5.499999999999997
twist,1136,30296,393,1.02,1.0,19649.99999999998,20042.99999999998,0.6615724848164768,0.6486004753102714,1.0,75.0,55.19381513565434,3.0,5.499999999999996
